"Отметка времени","Чи знаєте Ви про інсування здорових снеків/батончиків?","Як Ви їх сприймаєте?","Які з перелічених брендів Ви купуєте?","Ви вважаєте ціну на здорові снеки зависокою?","Де Ви найчастіше купуєте снеки?","Чи слідкуєте Ви за своїм харчуванням?","Чи займаєтесь Ви спортом?","Чи вистачає Вам часу для повноцінного харчування?","Ваша стать","Ваш вік ","У якому населеному пункті Ви проживаєте?","Ваш місячний рівень доходу"
"2019/10/30 7:55:13 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Не знаю","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Чоловіча","14-21 рік","Київ",""
"2019/10/30 7:56:17 PM GMT+2","Так","Як джерело корисних елементів","EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 7:58:28 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Granola Energy;Tekmar","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Жіноча","14-21 рік","Київ",""
"2019/10/30 7:59:40 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Чоловіча","22-35 рік","Киев","20-30 тис.грн"
"2019/10/30 8:00:08 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Tekmar","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","46-55 рік","Киев",">30 тис.грн."
"2019/10/30 8:00:40 PM GMT+2","Так","Як перекус","Fitness;Cini Minis;Lantmännen АХА;Granola Energy;Bakalland BA!","Ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","22-35 рік","Киев","20-30 тис.грн"
"2019/10/30 8:01:59 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше ні","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:02:20 PM GMT+2","Ні","","","","","","","","","","",""
"2019/10/30 8:02:33 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Чоловіча","14-21 рік","Київ ","20-30 тис.грн"
"2019/10/30 8:03:01 PM GMT+2","Ні","","","","","","","","","","",""
"2019/10/30 8:03:01 PM GMT+2","Так","Як перекус","Жодний з перелічених","Не знаю","Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Жіноча","22-35 рік","Київ",">30 тис.грн."
"2019/10/30 8:03:43 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:03:44 PM GMT+2","Так","Як перекус","Fitness;Granola Energy","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:04:08 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","М. Київ","<4 тис.грн."
"2019/10/30 8:04:13 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Granola Energy;Tekmar;Bakalland BA!;EatMe;Батончики Гранола","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:04:25 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:04:40 PM GMT+2","Так","Як перекус","Fitness;Tekmar;Bakalland BA!","Ні","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:06:36 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше так","Спеціалізовані магазини (Еко-лавка);Кав`ярні","Ні","Так","Ні","Жіноча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 8:06:42 PM GMT+2","Так","Як перекус","Батончики Гранола","Скоріше ні","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","","7-10 тис.грн."
"2019/10/30 8:06:56 PM GMT+2","Так","Як перекус","Granola Energy","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","55+","М. Київ","<4 тис.грн."
"2019/10/30 8:09:21 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше так","Заправки;Аптека ","Так","Так","Ні","Жіноча","36-45 рік","Киів",">30 тис.грн."
"2019/10/30 8:09:49 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Так","Чоловіча","14-21 рік","","10-20 тис.грн."
"2019/10/30 8:11:43 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:12:32 PM GMT+2","Так","Як джерело корисних елементів","Lantmännen АХА;Tekmar;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:12:34 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","20-30 тис.грн"
"2019/10/30 8:12:42 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:12:57 PM GMT+2","Так","Як перекус","Granola Energy;Tekmar;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:13:39 PM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 8:13:51 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Батончики Гранола","Так","Гіпермаркет (Ашан, Метро, Фоззі);Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","14-21 рік","Київ ","4-6 тис.грн."
"2019/10/30 8:15:00 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Bakalland BA!;EatMe","Скоріше так","Мінімаркет (Фора, АТБ);Кіоск","Так","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:16:46 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Lantmännen АХА;Bakalland BA!;Fitto","Скоріше ні","Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:17:13 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:17:34 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:17:47 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar","Скоріше так","Кіоск;Спеціалізовані магазини (Еко-лавка);Заправки","Так","Так","Так","Жіноча","36-45 рік","киев","10-20 тис.грн."
"2019/10/30 8:17:54 PM GMT+2","Так","Як перекус","Fitness;Fitto;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","22-35 рік","Київ","7-10 тис.грн."
"2019/10/30 8:18:07 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:18:20 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Lantmännen АХА;Granola Energy;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:18:26 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Cini Minis","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Житомир",""
"2019/10/30 8:19:03 PM GMT+2","Ні","","","","","","","","Жіноча","14-21 рік","Кийов","<4 тис.грн."
"2019/10/30 8:19:06 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Lantmännen АХА;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 8:19:09 PM GMT+2","Так","Як перекус","Fitness;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","46-55 рік","","4-6 тис.грн."
"2019/10/30 8:19:22 PM GMT+2","Ні","","","","","","","","Інша","55+","жмеринка",">30 тис.грн."
"2019/10/30 8:19:25 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Tekmar;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:19:32 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Жіноча","14-21 рік","",""
"2019/10/30 8:19:39 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:20:23 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Жіноча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 8:21:25 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Нові Петрівці ","10-20 тис.грн."
"2019/10/30 8:21:40 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Нові Петрівці ","10-20 тис.грн."
"2019/10/30 8:21:58 PM GMT+2","Так","Як перекус","Fitness;Батончики Гранола","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Чоловіча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 8:22:01 PM GMT+2","Так","в рот","Fitness;Cini Minis;EatMe;Жодний з перелічених","Не знаю","Заправки;столовка імв","Ні","Так","Ні","Інша","55+","кієв","20-30 тис.грн"
"2019/10/30 8:22:02 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Lantmännen АХА;Bakalland BA!;EatMe;Батончики Гранола","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:22:14 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Спеціалізовані магазини (Еко-лавка);Замовляю в Інтернеті","Так","Так","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:22:19 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Granola Energy;Bakalland BA!;EatMe;Fitto","Ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:22:40 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Нові Петрівці ","10-20 тис.грн."
"2019/10/30 8:22:51 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!","Ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:22:57 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:23:02 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Tekmar;EatMe;Fitto","Так","Кав`ярні","Ні","Так","Так","Чоловіча","14-21 рік","Киев",">30 тис.грн."
"2019/10/30 8:23:44 PM GMT+2","Так","Никак","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 8:26:25 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:26:28 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Lantmännen АХА","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Ні","Так","Жіноча","36-45 рік","Київ",">30 тис.грн."
"2019/10/30 8:26:31 PM GMT+2","Так","Як перекус","Fitness;Cini Minis;Lantmännen АХА;Tekmar;Bakalland BA!;EatMe","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 8:27:11 PM GMT+2","Так","Як перекус","Fitness;Tekmar;EatMe","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:27:20 PM GMT+2","Так","Як пристрасть","Fitness;Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:29:59 PM GMT+2","Так","Як перекус","Bakalland BA!;Батончики Гранола","Так","Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Київ ","4-6 тис.грн."
"2019/10/30 8:31:07 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Ні","Ні","Ні","Жіноча","14-21 рік","Дніпро","4-6 тис.грн."
"2019/10/30 8:31:20 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","36-45 рік","Київ ","20-30 тис.грн"
"2019/10/30 8:32:51 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:33:07 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Tekmar;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 8:33:13 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Не знаю","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Чоловіча","14-21 рік","Одеса","7-10 тис.грн."
"2019/10/30 8:34:43 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Lantmännen АХА;Tekmar;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ ","<4 тис.грн."
"2019/10/30 8:37:34 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar;EatMe;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кав`ярні","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:40:43 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Чоловіча","55+","Київ ","7-10 тис.грн."
"2019/10/30 8:42:25 PM GMT+2","Так","Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Bakalland BA!;EatMe;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Заправки","Так","Ні","Так","Чоловіча","36-45 рік","Чернігів","20-30 тис.грн"
"2019/10/30 8:43:29 PM GMT+2","Так","Як джерело корисних елементів","Жодний з перелічених","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:44:57 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","14-21 рік","Вишгород","<4 тис.грн."
"2019/10/30 8:45:32 PM GMT+2","Ні","","","","","","","","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 8:46:26 PM GMT+2","Так","Як перекус","Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:47:00 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 8:47:14 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","20-30 тис.грн"
"2019/10/30 8:47:29 PM GMT+2","Ні","","","","","","","","Жіноча","46-55 рік","","4-6 тис.грн."
"2019/10/30 8:48:13 PM GMT+2","Ні","","","","","","","","Чоловіча","46-55 рік","у місті","7-10 тис.грн."
"2019/10/30 8:49:57 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Місто Київ","<4 тис.грн."
"2019/10/30 8:50:29 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 8:50:59 PM GMT+2","Так","","Жодний з перелічених","Не знаю","","Ні","Так","Ні","Чоловіча","14-21 рік","","4-6 тис.грн."
"2019/10/30 8:51:12 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitto","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Так","Жіноча","36-45 рік","Київ","10-20 тис.грн."
"2019/10/30 8:51:28 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Tekmar;Bakalland BA!","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка);Заправки;Кав`ярні","Так","Так","Ні","Жіноча","14-21 рік","Киев","4-6 тис.грн."
